id,user_id,available_balance,frozen_balance,status,version,create_time,update_time
ACC40A36047A3794FFE,1,5000.0,0.0,ACTIVE,1,2026-07-24 23:25:42,2026-07-24 23:25:42
ACC6761810E242743CB,2,5000.0,0.0,ACTIVE,1,2026-08-09 09:10:42,2026-08-09 09:10:42
ACCBDF8A08C36534947,3,5000.0,0.0,ACTIVE,1,2026-08-13 21:41:42,2026-08-13 21:41:42
ACC19F65AFA8A8741B3,4,5000.0,0.0,ACTIVE,1,2026-07-26 12:28:42,2026-07-26 12:28:42
ACC5F99D3934D344170,5,5000.0,0.0,ACTIVE,1,2026-08-08 22:46:42,2026-08-08 22:46:42
ACC9A58A7C10AC544E4,6,5000.0,0.0,ACTIVE,1,2026-08-14 17:45:42,2026-08-14 17:45:42
ACCB8C452F628B94A29,7,5000.0,0.0,ACTIVE,1,2026-07-23 23:57:42,2026-07-23 23:57:42
ACC198B9A9203254814,8,5000.0,0.0,ACTIVE,1,2026-08-13 04:11:42,2026-08-13 04:11:42
ACC2C51F266A42A4DF4,9,5000.0,0.0,ACTIVE,1,2026-08-08 02:21:42,2026-08-08 02:21:42
ACC0F5471AE5FE34B77,10,5000.0,0.0,ACTIVE,1,2026-08-13 23:53:42,2026-08-13 23:53:42
ACC4E04399D86864C37,11,5000.0,0.0,ACTIVE,1,2026-07-28 10:54:42,2026-07-28 10:54:42
ACC7D2184B8A91F4DBF,12,5000.0,0.0,ACTIVE,1,2026-07-26 00:18:42,2026-07-26 00:18:42
ACC4D30B32484354DDE,13,5000.0,0.0,ACTIVE,1,2026-07-29 17:07:42,2026-07-29 17:07:42
ACC9C8ADA1A25CA4F30,14,5000.0,0.0,ACTIVE,1,2026-07-30 22:27:42,2026-07-30 22:27:42
ACC6EE21EF3CAC04638,15,5000.0,0.0,ACTIVE,1,2026-07-29 05:15:42,2026-07-29 05:15:42
ACC289742E655C245F5,16,5000.0,0.0,ACTIVE,1,2026-08-01 07:29:42,2026-08-01 07:29:42
ACC1DD5D50B62F44461,17,5000.0,0.0,ACTIVE,1,2026-07-26 15:01:42,2026-07-26 15:01:42
ACCD4D9E0DBCD2448BD,18,5000.0,0.0,ACTIVE,1,2026-08-02 20:24:42,2026-08-02 20:24:42
ACC856E627C9CBE4604,19,5000.0,0.0,ACTIVE,1,2026-07-21 01:53:42,2026-07-21 01:53:42
ACC973F2753C12C44BA,20,5000.0,0.0,ACTIVE,1,2026-08-06 10:35:42,2026-08-06 10:35:42
